,Date,Seller,State,Product,Unit_Value,Qty_sold,Sales_amount,Profit,Payment_term,State_name,Month,Weekday,Profit_margin,Region
0,2021-01-01,Marco Maia,AM,Cellphone,300,5,1500,500,Credit card,"Amazonas, AM",January-2021,Fri,0.3333,North
1,2021-01-01,Marco Maia,SC,Tablet,500,2,1000,500,Payment slip,"Santa Catarina, SC",January-2021,Fri,0.5,South
2,2021-01-01,Marco Maia,PE,Notebook,700,6,4200,2600,Credit card,"Pernambuco, PE",January-2021,Fri,0.619,Northeast
3,2021-01-01,Paula Amorim,MT,Cellphone,300,1,300,100,Payment slip,"Mato Grosso, MT",January-2021,Fri,0.3333,Midwest
4,2021-01-01,Paula Amorim,TO,Tablet,500,1,500,300,Payment slip,"Tocantins, TO",January-2021,Fri,0.6,North
5,2021-01-01,Paula Amorim,BA,Notebook,700,8,5600,3100,Credit card,"Bahia, BA",January-2021,Fri,0.5536,Northeast
6,2021-01-01,Vanessa Souza,MA,Cellphone,300,5,1500,700,Credit card,"Maranhão, MA",January-2021,Fri,0.4667,Northeast
7,2021-01-01,Vanessa Souza,MG,Tablet,500,6,3000,1000,Credit card,"Minas Gerais, MG",January-2021,Fri,0.3333,Southeast
8,2021-01-01,Vanessa Souza,AP,Notebook,700,5,3500,1900,Credit card,"Amapá, AP",January-2021,Fri,0.5429,North
9,2021-01-01,Vanessa Souza,AM,Cellphone,300,4,1200,700,Credit card,"Amazonas, AM",January-2021,Fri,0.5833,North
10,2021-01-01,Vanessa Souza,RR,Tablet,500,9,4500,2600,Credit card,"Roraima, RR",January-2021,Fri,0.5778,North
11,2021-01-01,Paula Amorim,CE,Notebook,700,1,700,300,Payment slip,"Ceará, CE",January-2021,Fri,0.4286,Northeast
12,2021-01-01,Marco Maia,SC,Cellphone,300,4,1200,200,Credit card,"Santa Catarina, SC",January-2021,Fri,0.1667,South
13,2021-01-01,Marco Maia,SC,Tablet,500,0,0,0,Credit card,"Santa Catarina, SC",January-2021,Fri,,South
14,2021-01-01,Marco Maia,AP,Notebook,700,0,0,0,Payment slip,"Amapá, AP",January-2021,Fri,,North
15,2021-01-01,Paula Amorim,PA,Cellphone,300,5,1500,900,Credit card,"Pará, PA",January-2021,Fri,0.6,North
